objectid,title,description,subject,materials,tools,difficulty,cost,date,creator,youtubeid,source,image,filename,filesize,display_template,object_location,image_alt_text,format,language,rights,rightsstatement
demo_0001,Pressed Flower Book Mark,Pressed flowers placed in laminate sleeves and laminated; Flower Book Mark,pressed flowers; bookmark lamintor sleeves; laminator,pressed flowers; bookmark lamintor sleeves; laminator,laminator,Easy,$$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,bkmark.jpg,bkmark_instructions.pdf,,pdf,,Pressed flowers placed in laminate sleeves and laminated; Flower Book Mark,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0002,Gnome Bottle Topper,Felt and faux beard gnome bottle topper,gnome; bottle topper,felt; faux fur; wood bead; scrap fabric,hot glue gun,Intermediate,$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,bottletopper.jpg,bottletopper_instructions.pdf,,pdf,,Felt and faux beard gnome bottle topper,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0003,Book Title Ceiling Tiles,Ceiling tiles painted with young adult book covers for new Teen department furniture fundraiser,book; ceiling tile; book cover,ceiling tile; reference images; carbon paper; plaster of paris,paint brush; scraper,Intermediate,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,ceilingtiles.jpg,ceilingtiles_instructions.pdf,,pdf,,Ceiling tiles painted with young adult book covers for new Teen department furniture fundraiser,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0004,Recycled CD Planter,"Recycled discarded CDs cut, glued and grouted onto a planter",disco planter; planter; recycled; cd,recycled cds; hot glue; plaster of paris; terra cotta planter,hot water kettle; hot glue gun; tin snips,Intermediate,$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,discoplanter.jpg,discoplanter_instructions.pdf,,pdf,,"Recycled discarded CDs cut, glued and grouted onto a planter",application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0005,Thumbtack Dragon Egg,Styrofoam egg covered in thumbtacks,dragon egg; thumbtack egg,styrofoam egg; thumbtacks; modge podge,na,Easy,$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,dragonegg.jpg,dragonegg_instructions.pdf,181 kb,pdf,,Styrofoam egg covered in thumbtacks,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0006,Wooden Fireworks,wooden 2x2s painted and in patriotic theme; Fireworks,fireworks; scrap wood; recycled; wood,wooden 2x2s; paint; twine,opt. hot glue gun,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,fireworks.jpg,fireworks_instructions.pdf,,pdf,,wooden 2x2s painted and in patriotic theme; Fireworks,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0007,Sock Gnome,Sock Gnome holding a coffee cup,gnome; coffee gnome; sock,white sock; seasonal sock; faux fur; wooden bead; rice; polyfil; hot glue; mini coffee cup; twine; scrap fabric; felt,hot glue gun; scissors,Intermediate,$$$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,gnome.jpg,gnome_instructions.pdf,133 kb,pdf,,Sock Gnome holding a coffee cup,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0008,Wooden Home Sign,Four 4x4 blocks spelling H-O-M-E with interchangeable O,wood; block; scrap wood,4x4 wooden blocks; stencils; acrylic paint,paint brushes/sponges,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,homesign.jpg,homesign_instructions.pdf,,pdf,,Four 4x4 blocks spelling H-O-M-E with interchangeable O,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0009,Pom Pom Bouquet,Yarn and yarn pom poms made to create a floral bouquet,pom pom; bouquet; yarn,yarn; pom pom maker; bamboo skewers; hot glue,pompom maker; hot glue gun; scissors,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,pompombouquet.jpg,pompombouquet_instructions.pdf,,pdf,,Yarn and yarn pom poms made to create a floral bouquet,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_0010,Flower Pot Face,Terra cotta planter with cricut cut face shapes and scrap fabric bow; Pothead,pothead; planter; flower pot,terra cotta planter; vinyl; scrap fabric; opt rhinestones,hot glue gun,Easy,$,,"Sellers, Sarah",,Waterloo Public Library MakerSpace,pothead.jpg,pothead_instructions.pdf,,pdf,,Terra cotta planter with cricut cut face shapes and scrap fabric bow; Pothead,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
